Annual_Income,Investment,Deduction,Tax
2136013,366928,82535,205965.0
4884096,184857,232858,1039914.3
289353,254066,180583,0.0
3610011,78676,209300,696610.5
4509622,28373,16073,1039552.8
666880,181355,116534,3449.55
1063168,206983,209855,19633.0
475281,114951,98541,0.0
3367697,308558,93535,589681.2
4032875,399283,10019,787071.9
3245765,103872,190444,585434.7
519536,155772,24160,1980.2
4622093,214301,188450,965802.6
1811729,164973,161227,147105.8
2472809,372518,181161,275739.0
931669,184500,245982,10059.35
4114822,186759,181416,823994.1
1369043,311637,42398,62251.2
3579462,145074,198666,670716.6
2456903,71224,71651,394208.4
1991093,313996,189677,147484.0
2808231,293076,247204,380385.3
4550385,280346,205246,919437.9
3330389,370689,219314,522115.8
1911909,315727,138171,141602.2
2906138,270537,125194,453122.1
360078,198350,211349,0.0
2165631,312009,171395,204668.1
1654104,163361,100980,127952.6
2258187,352414,123866,234572.1
1909066,105549,38566,229485.3
4423125,150768,178427,928179.0
2398815,64327,229430,331517.4
4274066,133209,196824,883209.9
4756259,216591,52129,1046261.7
4385314,397033,113661,862386.0
1160681,38409,59891,69357.15
1857618,170589,19982,200114.1
4146830,326677,247991,771648.6
4586787,35327,111359,1032030.3
3005423,75344,129075,540301.2
2283350,285815,159659,251362.8
2561987,221549,216783,337096.5
4846200,111908,63074,1101365.4
4921399,229074,135277,1067114.4
321295,70756,42185,0.0
993974,196031,224949,13649.7
3695376,179152,195550,696202.2
3862600,306688,222395,700055.1
1075816,96347,77325,45321.6
624705,38733,221915,3202.85
3967270,68093,131089,830426.4
2106926,387568,10584,212632.2
1908845,198114,180018,159213.9
2276793,204588,127888,283295.1
804594,115595,140747,12412.6
397718,57487,178030,0.0
3754473,60849,57323,790890.3
2454664,265730,137276,315497.4
4591747,96400,236940,977522.1
1769163,149120,216008,130807.0
4817920,110930,123700,1074987.0
936976,331843,119318,9290.75
2722189,372614,152957,358985.4
3391259,219969,168095,600958.5
367796,377167,162241,0.0
1491082,311162,232349,52135.65
4364639,303175,219888,852472.8
2938130,216236,24469,509227.5
3924515,387129,91340,733813.8
1829159,350381,113060,123143.6
1157317,263551,212633,23113.3
2735367,390570,148527,358881.0
4765488,36719,204437,1057299.6
918234,291862,151569,8740.15
628480,20056,76598,11591.3
1041971,263349,170048,15857.4
751157,166424,70698,10701.75
4628727,329964,249415,914804.4
4374499,350827,166173,857249.7
2863501,351217,129190,414928.2
3171944,239420,216182,514902.6
4577576,282865,188553,931847.4
3333153,60194,162424,633160.5
3049487,197628,81602,531077.1
3154941,260455,170733,517125.9
2350021,99882,162856,326184.9
1610828,216867,113988,105994.6
868467,171944,141031,12774.6
2385619,225399,169754,297139.8
4205488,93072,20914,927450.6
4924351,143919,49606,1119247.8
1957923,368112,175827,132796.8
378391,249358,140596,0.0
1267026,389395,79603,34802.8
4551754,64537,129756,1007238.3
2519042,129254,243480,343892.4
2233509,251735,153387,248516.1
366381,92941,123462,0.0
1771701,183277,149949,137695.0
1870197,241016,238815,128073.2
2481660,37645,132494,393456.3
2028226,132661,33038,258758.1
1449386,353617,135429,54051.0
3688618,332878,22869,699861.3
2264484,181503,22058,318276.9
3187629,80914,152089,586387.8
2707184,37882,210342,437688.0
3393963,373004,98724,576670.5
4353022,229611,13500,932973.3
1668175,241714,134541,108384.0
4056688,164051,102162,837142.5
4022962,120513,203722,809618.1
4441423,64828,186170,957127.5
4291776,158300,212338,876341.4
2977423,225908,139798,483515.1
2010427,140354,195754,202295.7
4568427,356361,78797,939980.7
3701356,126500,120633,736266.9
1381565,355947,62995,54393.45
3694084,90908,211433,717522.9
3177109,321062,143053,513898.2
4622578,265377,92567,979390.2
2759079,47785,63075,494465.7
3137004,275333,25876,550738.5
2181760,364901,143054,202141.5
381373,381634,205440,0.0
365294,91997,80791,0.0
3382514,234473,86285,618526.8
4585868,281372,40214,979284.6
1676388,391912,104244,87034.8
4101424,296196,12019,837962.7
2465167,246978,199238,305685.3
4136402,223940,112978,839845.2
939944,331527,181911,6325.3
938105,370445,82516,9257.2
2860910,90775,53524,514983.3
2239173,266709,193056,233822.4
3330761,95614,150284,625458.9
1664466,158110,123518,126567.6
695101,290192,232265,0.0
1355534,245279,99022,61684.95
3477802,297098,204714,592797.0
1833593,251673,228983,120587.4
2053649,279407,118518,196717.2
1474665,267067,30592,86550.9
2544544,219387,173275,345564.6
4603127,394154,177515,909437.4
748863,295369,201299,0.0
617654,125622,175619,820.65
2926188,221943,101931,480694.2
3545990,291674,63848,657140.4
1742785,44791,112841,175545.9
1047079,125806,223865,24740.8
4292787,273286,54610,889467.3
4178083,152721,39817,895663.5
2949015,110721,227758,483160.8
3664527,47134,95348,756613.5
1536125,217525,199707,77833.95
3990047,192193,97524,810099.0
698982,237129,152180,483.65
1422622,273107,150291,59883.6
2753771,58217,128237,470195.1
3427825,151067,231304,613636.2
1246161,219419,166389,41035.3
4433839,56189,13881,1009130.7
916326,138903,249077,11417.3
899150,214549,52202,18239.9
3625957,186561,230437,662687.7
368834,309428,161808,0.0
3489576,44698,66623,713476.5
3448649,301781,69434,623230.2
4729125,199096,152181,1013354.4
4499913,342549,98979,917515.5
4672201,343449,81185,974270.1
1329600,315700,185813,37808.7
1275715,102176,69056,75672.45
1688533,220633,233819,96816.2
2531230,117012,228000,355865.4
3753157,223349,202180,698288.4
711243,23654,213925,8683.2
2308852,322572,67937,275502.9
3509360,149814,86567,681893.7
2235588,195621,220571,245818.8
501451,377523,173075,0.0
4447355,85355,199821,948653.7
2002683,213191,15508,232195.2
1254646,66257,178857,61429.8
1221525,133435,71155,62540.25
4117500,125866,83658,872392.8
4633711,274559,34509,997392.9
699395,302455,35497,3072.15
1510386,132695,155490,94440.2
3304390,336622,69383,569515.5
3629569,185992,140053,691057.2
3150603,28738,53159,620611.8
3217197,355568,210670,495287.7
472866,344376,56814,0.0
1385248,390544,213956,33074.8
1896711,287618,116246,148569.4
1673286,79026,17945,172894.5
3945961,86024,127926,819603.3
3427945,70974,142565,664321.8
3663821,287766,202589,652039.8
433062,379510,219307,0.0
2741518,253150,126265,408630.9
3091992,59214,224589,542456.7
4544539,113184,176268,976526.1
3470468,269212,21187,654020.7
1053328,380377,26696,19625.5
4312958,209065,238191,859710.6
1293233,176295,217242,44969.6
1961741,304009,235165,134513.4
779525,225180,49454,10244.55
426615,63026,128763,0.0
4631932,109037,206611,994885.2
2985988,177938,246437,468483.9
4851020,45775,182917,1086698.4
3949391,221495,153452,772333.2
791252,39374,31602,27027.6
1936293,340595,208988,127342.0
3862610,364285,27619,741211.8
2414367,35684,83298,388615.5
2154050,44002,168926,282336.6
394356,111551,186754,0.0
4648165,26309,152297,1040867.7
3349320,366819,198155,535303.8
605612,350470,141027,0.0
3850333,27826,55628,830063.7
259435,163206,45171,0.0
4891860,170765,48789,1101691.8
1998014,141840,66572,236880.6
3971309,155126,246110,771021.9
4523085,272816,88019,948675.0
2538627,167162,100373,381327.6
1014121,125985,77905,36023.1
1419748,297713,143539,56774.4
3752630,26508,42241,805164.3
2832115,109059,183966,461727.0
1357677,227041,129115,60228.15
538790,117475,89143,1608.6
2894489,150447,175099,470682.9
1658836,130648,44822,146673.2
1891249,44520,157989,206622.0
3943305,313076,241495,716620.2
4716271,39734,27907,1094589.0
4635536,351507,184218,929943.3
1602695,332699,226449,66532.05
2356692,269972,176429,273087.3
1839228,298401,178259,122513.6
3793555,183266,213700,718976.7
2899103,247926,49512,480499.5
1350567,167865,241316,51207.9
2535903,375694,95656,319365.9
4082065,281894,190296,782962.5
299115,335363,225879,0.0
3587690,321984,187540,623449.8
971747,379536,15357,13842.7
4980530,341471,232171,1022066.4
3299851,133827,207953,587421.3
3073100,54819,136292,564596.7
3234626,105621,151050,593386.5
1654330,121272,23616,152832.6
501492,61704,84759,2751.45
4285851,342523,108273,850516.5
741072,175390,126694,6949.4
1336880,100987,19422,93294.2
4949303,393705,149674,1021777.2
4775897,287418,20497,1040394.6
2305723,378606,192043,220522.2
2498988,261744,131482,331728.6
4553244,301190,230205,906554.7
1564093,94210,57229,132530.8
3014673,138724,78628,539196.3
3226242,235631,195513,538529.4
4830081,68392,78127,1105068.6
2898790,81472,197807,485853.3
4013024,263746,110806,791541.6
2896791,90904,215461,477127.8
2960108,371207,232413,406946.4
3603597,327479,199772,622903.8
315953,42487,29476,0.0
4239618,56593,82597,930128.4
2847480,95927,91697,497956.8
4447571,292018,77209,923503.2
3172097,336966,101200,520179.3
407164,73948,234832,0.0
4979930,23608,73575,1164824.1
2478636,115987,237138,337653.3
781831,125182,201966,7734.15
3239475,250394,219962,530735.7
3456420,47546,212610,658879.2
3615884,398143,249528,590463.9
3619720,120804,17308,744482.4
4961075,344640,119941,1048948.2
2890328,337330,43267,452919.3
941095,193418,220198,11373.95
1083727,156302,108629,36879.6
1412928,45720,220337,82030.65
2433151,325167,39224,320628.0
3413683,87082,130721,658764.0
4220001,35050,76423,932558.4
320640,395497,117491,0.0
4640886,202387,243049,958635.0
2250991,334308,86768,248974.5
4372263,148470,247311,892944.6
4844877,312278,43696,1046670.9
4505780,166712,70312,980626.8
1605531,34284,79939,148261.6
925510,80526,24992,36999.2
3991196,48577,249490,807938.7
2984296,141867,149062,508010.1
3581869,281079,202981,629342.7
1148320,341044,54215,30306.1
2257635,366750,200070,207244.5
1476607,288210,92544,74377.95
4313960,234648,237618,852508.2
3514908,272539,14344,668407.5
4510538,386486,61523,918758.7
1862818,28583,162155,201624.0
2525504,320201,165706,311879.1
3475187,173676,146188,646596.9
4854299,308708,69660,1042779.3
4910456,343573,203853,1008909.0
4348502,380744,245613,816643.5
3871581,108393,117773,793624.5
4496238,397918,51646,914002.2
675523,48941,230619,4798.15
3849865,320106,14610,754544.7
4449790,189645,190756,920816.7
1289458,78420,70519,81077.85
4022811,102415,202320,815422.8
2567336,186835,47265,399970.8
4410435,364157,144924,870406.2
3013642,196752,107222,512900.4
2059891,139012,29788,267327.3
4038340,157465,242144,791619.3
2669862,140198,225647,391205.1
447775,53488,241516,0.0
2636488,172531,17724,433869.9
1037494,188939,59725,33883.0
1451193,229176,191789,64534.2
4193334,122330,56026,904493.4
3259758,196087,151069,573780.6
783636,287201,59588,6842.35
3288370,272570,20695,598531.5
4482406,103026,53422,997787.4
4518764,25305,210197,984978.6
3485658,343420,73442,620638.8
2026203,261290,142470,186732.9
2526360,193403,118050,364472.1
4658249,110534,83227,1039346.4
4676219,166388,189572,996077.7
2784629,167289,86479,459258.3
775830,131045,89462,12766.15
1582397,278554,70273,96714.0
2386233,369325,55817,288327.3
968216,393051,71171,10199.7
767313,33987,153185,14007.05
3915060,69915,171206,802181.7
3712565,33543,144338,760405.2
1587682,310088,147480,79517.1
1536643,209313,24842,110497.6
1783584,160216,152208,144232.0
644540,391562,144569,0.0
2865075,58459,71415,520560.3
4692987,190899,31340,1041224.4
276790,50741,175814,0.0
1941738,221087,238016,146527.0
3158873,146077,117362,568630.2
698345,94627,105330,9919.4
999074,269783,215853,10671.9
3935501,395516,244786,688559.7
2129490,351885,230734,164061.3
4137857,89177,78070,891183.0
3426083,23543,66725,700744.5
1704908,156663,57018,148245.4
2503694,261209,132907,332873.4
3569144,338539,45985,655386.0
555062,211506,225327,0.0
2637312,311199,194900,339363.9
3943976,288260,70341,775612.5
4658224,337629,196619,937192.8
4285493,153479,99249,909829.5
3638532,182666,187054,680643.6
1675541,86421,225149,122794.2
2121403,248803,89712,234866.4
1071052,317555,29075,27442.2
2057150,227733,131229,209456.4
2475300,238102,160798,322920.0
2105567,119772,11555,292272.0
1784837,206516,157731,134118.0
3751268,372265,136562,672732.3
3588442,238653,172038,653325.3
4704051,239055,166995,989400.3
673570,393814,78625,0.0
2623139,177310,221351,367343.4
1108158,124627,83114,45062.55
2364792,192775,132656,311808.3
302528,186268,241548,0.0
2123421,228293,169039,217826.7
2848260,294882,126292,428125.8
1667077,134183,33185,149941.8
3545887,297916,181564,619922.1
3568230,347414,138877,624581.7
2502728,337123,184099,294451.8
2735195,268240,44594,426708.3
4510507,201410,133126,952791.3
410775,133585,228501,0.0
2917867,272669,27754,485233.2
1813299,219439,54507,161805.9
3719401,171117,211930,700906.2
4025803,234740,31512,827865.3
1594027,227663,146883,93896.2
4416500,44318,44459,998316.9
1041267,340602,180514,11007.55
747562,388000,167798,0.0
4098693,105184,74757,875625.6
4828238,148789,217444,1038601.5
4287776,41747,111694,940300.5
2254168,273651,249849,219200.4
4260912,239842,19862,900362.4
4761732,198445,108340,1036484.1
2429996,182632,119912,338235.6
1850396,31282,224619,178348.5
3561149,83073,45107,729890.7
372402,174115,98080,0.0
1416588,262720,155497,59755.65
4882965,335044,44139,1051134.6
2746081,303073,43444,419869.2
2927618,55500,211680,498131.4
4907860,284016,138443,1045620.3
825278,188560,141324,9769.7
1428049,349649,111168,55084.8
3330201,307604,126304,568887.9
4922311,32155,20208,1160984.4
3812737,397150,94151,696430.8
3714442,376072,65585,681835.5
1524732,154789,92680,105452.6
3564692,146075,95206,697023.3
4443398,152446,49069,972564.9
4969607,172898,66218,1119147.3
1360389,397282,164290,34881.7
277712,164499,174232,0.0
4321647,84442,217891,905794.2
4162942,382815,185574,778365.9
362816,175343,35006,0.0
1885156,214644,136610,160170.6
385230,298775,240372,0.0
2016616,39887,49916,278043.9
4713418,45259,35667,1089747.6
1633194,117932,231285,106795.4
3351360,77987,86427,656083.8
2131548,200702,57688,261947.4
4595760,301288,221150,921996.6
3501298,229263,24414,674286.3
4715150,257344,205696,975633.0
250404,206164,134668,0.0
1573483,171908,28564,124602.2
1972320,264119,15316,207865.5
2582517,251602,54056,383057.7
4787090,326600,219367,972336.9
3446340,187452,202100,617036.4
413273,140250,169262,0.0
4104418,359879,202429,762633.0
3902692,293713,98353,753187.8
1337341,250435,52239,65200.05
4227266,172721,177848,863009.1
3281756,365875,82909,549891.6
1093523,378276,72938,19230.9
796237,120497,189182,9327.9
4290479,309147,189267,837619.5
342193,134432,46054,0.0
3431915,174898,217481,611860.8
4950254,384630,112821,1035840.9
1436887,175801,139581,78225.75
3258038,61274,29012,650325.6
758153,58718,92458,15697.7
3584817,61682,220602,690759.9
3832069,50653,28164,825975.6
2965514,277583,16605,501397.8
2908571,165213,87254,496831.2
1929748,50401,189181,207049.8
2473069,178459,176188,335526.6
3695498,101690,157217,730977.3
731680,382757,162863,0.0
2886694,157702,26120,510861.6
3211293,326437,164625,516069.3
4350673,295560,126648,878539.5
1784026,136711,157434,147976.2
565826,397181,242467,0.0
3717366,373079,124140,666044.1
577359,290504,49865,0.0
3998603,32011,95482,861333.0
4451253,60721,178921,963483.3
3110337,277366,80437,525760.2
567537,318213,241680,0.0
800222,335414,118996,2290.6
2823619,31227,143557,494650.5
2703752,59587,69789,472312.8
1614133,81720,132863,129910.0
2182247,350449,108952,216853.8
1603038,358172,20461,94881.0
500875,335795,67042,0.0
4907693,333476,89548,1045400.7
4514694,219953,171203,937061.4
957689,350345,62967,12218.85
4697794,325696,114583,977254.5
1865952,228974,150815,147232.6
1546516,143938,170519,96411.8
2780179,137230,134182,452630.1
1806617,113758,12632,204068.1
3713351,339444,165359,662564.4
1515040,309095,37108,85325.55
2104971,302408,206129,178930.2
900199,39121,109572,30150.6
4284628,366495,241149,803095.2
2099396,332683,54049,213799.2
2941276,181383,82556,503201.1
878861,193469,46395,18899.7
2776954,170821,209156,419093.1
911614,49218,240926,17147.0
4943174,195205,159596,1076511.9
3607519,327011,48270,669671.4
916997,21316,196232,24944.9
1976351,57972,49190,260756.7
1322647,369068,15846,50659.95
1881107,217292,95440,170512.5
1278455,374844,213733,23987.8
1555794,149079,120150,107313.0
2200367,228343,149884,246642.0
2160705,252463,80943,248189.7
1851596,193707,127211,159203.4
4041481,202337,238209,780280.5
4400276,201181,145839,915976.8
2632357,386226,214970,309348.3
3737124,199869,163100,712246.5
2495131,80887,159875,376310.7
4496049,173484,20971,990478.2
341865,318006,248984,0.0
4294588,235799,221128,851298.3
1322200,165893,230669,48845.7
2370473,355262,189631,247674.0
2750856,94548,109242,464119.8
3156158,184727,96850,562374.3
4318472,124319,196576,899273.1
1472869,205648,74481,88911.0
2533869,280272,73486,354033.3
3375354,100066,74840,660134.4
4332494,266635,89208,892995.3
1679551,327365,52991,109839.0
2531020,369333,165067,298986.0
3006944,125812,165520,514683.6
2537623,236988,236744,319167.3
1164032,205517,41088,47614.05
4232588,112326,13177,932125.5
1817438,159972,168419,147809.4
1167559,253041,156756,30776.2
885605,33891,31735,36997.9
4833897,390784,15100,1028403.9
1065131,166086,243172,20587.3
317661,354227,160340,0.0
2328007,320108,52691,286562.4
1557506,64739,224264,103700.6
2221206,399015,89164,219908.1
3151614,367943,147479,490857.6
3216422,235928,34054,583932.0
3958654,264592,181270,753837.6
368033,194446,167604,0.0
880265,59459,185519,18528.7
2960309,289189,105120,469800.0
3168258,325399,93611,524774.4
1465502,71965,169813,94744.8
4876038,283381,150521,1032640.8
1671796,72195,133311,143258.0
3012779,399919,162629,435069.3
2569049,56326,202681,393012.6
3970464,156365,167731,793910.4
2442614,45274,144977,375708.9
1020173,376064,179886,8211.15
2919355,378673,179920,408228.6
3662504,169301,235538,677299.5
717010,98847,217098,5053.25
1905016,277966,196380,136134.0
1947900,338862,131502,145507.2
4830497,350862,82220,1019224.5
4471038,69615,175944,967643.7
1173875,138548,150448,43487.9
2373221,91296,239812,312633.9
4130993,354940,57881,815451.6
4981502,263083,96245,1086652.2
2818103,356795,154190,392135.4
331264,27076,39888,0.0
273275,362494,104827,0.0
2943714,336062,57460,465057.6
2710072,279040,233583,359234.7
822735,332672,246384,0.0
2250609,399647,121873,218726.7
1162826,86798,199037,42699.1
2947143,29319,169361,524538.9
1112522,209468,51594,40146.0
1053692,245368,37588,32073.6
1411157,309142,242051,40996.4
1564532,23468,65013,145210.2
671240,132178,176180,3144.1
4109744,163723,232593,814028.4
1194789,165554,177656,40157.9
3357092,286553,68172,600710.1
2463573,86083,176121,360410.7
775893,254267,66615,7750.55
2505363,105443,81358,395568.6
4631514,305570,35112,987249.6
4398887,390169,101514,872161.2
1457094,336901,26037,74123.4
2471192,165508,18996,386006.4
918406,298634,220932,4942.0
3918866,72136,218081,788594.7
4862338,180034,33066,1094771.4
3103406,304380,100963,509418.9
1283255,165995,135105,57323.25
3302766,206963,50865,613481.4
790677,349291,190779,0.0
3344235,290072,136023,575442.0
1421459,185630,149139,73003.5
3109653,338513,140555,489175.5
2216197,348547,146413,216371.1
637952,379369,162499,0.0
2459373,327357,221766,273075.0
4397703,118631,202739,922899.9
1280117,23816,36440,93972.2
3146818,380306,91163,502604.7
2607821,329982,245405,309730.2
775134,272536,202765,0.0
494761,279525,98738,0.0
3180098,162645,89877,578272.8
3221820,235547,208702,533271.3
314323,85364,29314,0.0
1487715,291466,184659,61738.5
1204480,139024,100365,54763.65
2582811,284626,144592,346077.9
1104016,318011,190282,14786.15
1114909,276703,173208,21499.8
1300493,260888,193926,39567.9
532762,361355,200137,0.0
1855118,378100,160063,113391.0
3133427,390196,15110,518436.3
1666012,228343,187342,100065.4
821650,361530,182296,0.0
4726576,26732,110011,1076949.9
635925,191825,201630,0.0
3113793,262076,94213,527251.2
4007974,255430,45252,812187.6
653081,266328,61887,1243.3
2649105,54422,173655,426308.4
628892,96964,86251,7283.85
4449591,76284,95375,983379.6
3404240,148575,125625,639012.0
906702,31311,43645,38174.6
3504600,220341,53664,669178.5
2235296,224950,84274,277821.6
2440222,358144,176302,271732.8
3999783,199586,136083,799234.2
2969269,327455,239167,420794.1
2574797,30300,47261,449170.8
1036667,85375,107432,39386.0
1603649,316707,245511,66214.65
1962503,141227,34365,236073.3
3235418,99244,120127,604814.1
3859736,179162,225207,736610.1
1634418,134687,58817,138182.8
636594,36328,202262,4900.2
3119760,157286,163403,539721.3
4056503,208812,238130,782868.3
4087247,317521,165877,781154.7
1342501,176806,170446,59287.35
387023,372401,158883,0.0
1385964,38610,114591,96552.6
4976599,179947,159155,1091249.1
1733624,75082,56610,180579.6
2405748,43226,153233,362786.7
2206109,309821,155475,222243.9
3295179,161370,126833,602092.8
4175282,317992,82494,832438.8
1123172,119291,194496,35938.5
3935540,345798,35805,766181.1
772244,299888,104506,3392.5
4313309,174506,241199,869281.2
1312636,125850,20468,84947.7
2036921,330145,21135,205692.3
1079735,79633,199046,35105.6
3586007,68917,231453,685691.1
4080375,361948,137056,774411.3
4779788,197817,73135,1052650.8
2812469,283051,74699,436415.7
3336176,373439,161227,540453.0
3545374,209674,236099,629880.3
3931262,50172,76036,841516.2
4883078,251831,139729,1047455.4
2859089,123512,31990,511076.1
2758749,191614,214547,405776.4
1164228,68196,163063,49945.35
1203959,351045,187117,21579.7
2439415,157023,220397,318598.5
1877781,297319,29134,165398.4
3619538,127809,60464,729379.5
3492374,357774,94073,612158.1
595266,370761,178576,0.0
4206679,163239,141680,870528.0
1788601,225377,185075,125629.8
2827855,147310,220495,438015.0
3321475,348700,159119,544096.8
4787358,384292,144366,977610.0
4253484,252949,126685,862155.0
1357955,30485,102541,94985.8
4052010,385890,90709,772623.3
2182728,271818,163478,224229.6
2149492,126255,233895,236802.6
2611632,28802,95105,446317.5
1664397,315458,175371,86035.2
3427993,274290,57043,628998.0
3381209,301709,170822,572603.4
1473520,113153,178056,87346.65
4307893,373289,66536,860420.4
3467635,326377,13706,638265.6
2550119,330528,152338,320175.9
2149443,203557,230251,214690.5
3698503,235732,96422,709904.7
1689758,360397,133555,89370.9
2055468,57669,188616,242754.9
3677975,346243,85382,673905.0
376108,124012,88255,0.0
3410110,153154,96924,648009.6
3480019,144878,55116,684007.5
1957692,177333,205285,172522.2
2330154,237578,95464,299133.6
2494702,29795,187398,383252.7
3627778,327453,79354,666291.3
2780034,212528,18087,464825.7
4782131,249636,131770,1020217.5
2942755,40180,111747,537248.4
638349,328479,189488,0.0
1312729,375031,97629,39006.9
3374071,279495,76583,605397.9
3636501,217623,53413,709639.5
2229079,259901,94580,262379.4
4838334,175561,238723,1027215.0
3772905,210470,214538,704369.1
326077,142352,91530,0.0
4577819,384411,167910,907649.4
1505564,205542,202773,74587.35
2158327,359546,246434,165704.1
375885,130551,140393,0.0
791656,383154,49034,2973.4
920688,100808,100875,26900.5
2535166,140823,151631,372813.6
4674507,140469,198301,1000721.1
2301531,218707,144480,281503.2
3042427,354066,33878,496344.9
3170803,353018,159140,497593.5
3607679,399397,187216,606319.8
4640020,342505,202880,928390.5
2931719,93836,240245,479291.4
1140695,211838,244499,23435.8
4444430,172472,168381,931073.1
1088761,306785,173463,15851.3
750315,203305,101025,7299.25
2664472,89833,196099,413562.0
1549445,271673,103243,86179.35
748716,133398,230204,4255.7
3391069,66129,98647,667887.9
3571127,315952,200046,616538.7
2809272,98346,92462,485539.2
2526106,93524,176043,376961.7
2252324,76625,94855,324253.2
4577021,322471,223743,909242.1
3574323,170651,241487,648655.5
4201416,41483,133300,907989.9
744592,353024,135250,0.0
3495886,28947,82812,715238.1
4104261,160605,232670,813295.8
